pair_id,label,filename_similarity,content_similarity,metadata_similarity,size_similarity,tfidf_similarity,embedding_similarity,sha256_match,overall_similarity,difficulty,geometric_cluster_id,is_labeled,uncertainty_score,difficulty_code
1023,0,0.4091,0.4578,0.4274,0.811,0.0219,0.0232,0.0,0.254,Non-Duplicate,2,False,0.5,4
1024,1,0.8621,0.9964,0.6667,1.0,0.9882,0.9994,0.0,0.9485,Medium,3,False,0.5,1
1025,0,0.439,0.4318,0.4078,0.7046,0.0158,0.0162,0.0,0.243,Non-Duplicate,2,False,0.5,4
1026,0,0.5641,0.3673,0.4192,0.3857,0.0225,0.0279,0.0,0.2381,Non-Duplicate,0,False,0.5,4
1027,1,0.7308,0.97,0.8306,1.0,0.9115,0.9922,0.0,0.9219,Hard,1,False,0.5,2
1028,0,0.4651,0.3504,0.3,0.2868,0.0267,0.0292,0.0,0.2117,Non-Duplicate,0,False,0.5,4
1029,1,0.7547,0.9872,0.4333,1.0,0.9308,0.9302,0.0,0.883,Hard,3,False,0.5,2
1030,1,0.8837,1.0,0.4333,1.0,0.9941,0.999,0.0,0.93,Hard,3,False,0.5,2
1031,1,0.7667,1.0,0.916,1.0,1.0,1.0,0.0,0.9683,Easy,1,False,0.5,0
1032,0,0.449,0.328,0.4215,0.0156,0.0331,0.0397,0.0,0.2181,Non-Duplicate,0,False,0.5,4
1033,1,0.9302,1.0,1.0,1.0,0.992,0.999,0.0,0.9908,Easy,1,False,0.5,0
1034,0,0.5714,0.4277,0.1694,0.4294,0.024,0.0258,0.0,0.2349,Non-Duplicate,0,False,0.5,4
1035,0,0.5128,0.3378,0.3708,0.2924,0.0212,0.0218,0.0,0.2162,Non-Duplicate,0,False,0.5,4
1036,1,0.8696,1.0,0.6667,1.0,0.9151,0.9119,0.0,0.9148,Hard,3,False,0.5,2
1037,0,0.5128,0.3175,0.3612,0.2675,0.0262,0.0278,0.0,0.2106,Non-Duplicate,0,False,0.5,4
1038,0,0.45,0.4006,0.6233,0.3611,0.0277,0.0333,0.0,0.2611,Non-Duplicate,0,False,0.5,4
1039,1,0.7692,0.9938,0.6603,1.0,0.9858,0.9981,0.0,0.9369,Medium,3,False,0.5,1
1040,1,0.8696,1.0,0.9826,1.0,0.9783,0.9778,0.0,0.9754,Easy,1,False,0.5,0
1041,1,0.8679,1.0,0.4333,1.0,0.8964,0.9183,0.0,0.8879,Hard,3,False,0.5,2
1042,0,0.4878,0.4531,0.3059,0.9038,0.021,0.0245,0.0,0.2481,Non-Duplicate,2,False,0.5,4
1043,1,0.9268,1.0,0.5813,1.0,0.9963,0.9995,0.0,0.9498,Medium,3,False,0.5,1
1044,1,0.9495,0.9969,0.6667,1.0,0.9993,0.9996,0.0,0.9603,Easy,3,False,0.5,0
1045,0,0.439,0.3846,0.1913,0.3385,0.0173,0.0162,0.0,0.2052,Non-Duplicate,0,False,0.5,4
1046,0,0.5116,0.393,0.6466,0.3392,0.0202,0.0214,0.0,0.2627,Non-Duplicate,0,False,0.5,4
1047,1,0.8444,1.0,0.7667,1.0,0.984,0.9866,0.0,0.9544,Medium,1,False,0.5,1
